Etapa,Total de Pastas,Pastas com Arquivo,Diferença,Pastas Vazias,Pastas c/ Arquivos,Últ. Atualização
Planilha de Reavaliação,1,1,0,Nenhuma,REAVALIAÇÃO,Sem arquivos
Amil - Bi Zetta,84,75,9,"ALMADA_PARTICIPACOES_STYLOS ,CONSELHO_FEDERAL_DA_OAB ,DIGISYSTEM ,E-LAW ,FUNDACAO_LICEU_PASTEUR ,GLORY_GLOBAL ,GO_FURTHER ,KASLO ,METAL_WORKS","ACTOS ,AGROTIN ,ALVENIUS ,ARBAIT ,ARC_ENGENHARIA ,ARTENAFEX ,ASTORIA ,AULIK_LENOXX ,AUT_SISTEMAS ,BRASAL ,BRAVO_PROJETOS ,CADMUS ,CARVALIMA ,CHACARA_FLORA ,CHEMAX ,CLESS ,CLF_PLASTICOS ,CLUBE_ESPERIA ,CLUBE_PAINEIRAS ,CNAGA ,CONSORCIO_STP ,CROMASTER ,DANFAB_PECAS ,DISAL ,EDAG ,ENGBRAS ,ENGEMATEX ,FREIOS_FARJ ,GENCO ,GLOBALWEB_GWO ,GRUPO_MEMORIAL ,HOTEL_NACIONAL_INN_JARAGUA_LTDA ,INPLAFER ,JMC ,KRJ ,LAKATOS ,LOCCUS ,MARCYN ,MAXXIMED_COMERCIO ,MUSICAL_EXPRESS ,NEGRAO_FERRARI ,NEOQUIM ,NOVA_ALIANCA ,OP_TELECOM ,PLANSERVI ,PLUS_CARGO ,PRESMAK ,PRF ,RESERVA_NOVOS_PARQUES ,RICARDO_ALMEIDA ,RODL ,RSM ,SALA_DE_SOM ,SANTEC ,SAO_RAFAEL ,SARSTEDT ,SCHWING ,SEE_SAW ,SHOEBIZ ,SINAFRESP ,SUMUS ,TCT_BRASIL ,TECMASTER ,TECNOGEO_GROUND ,TEKLA ,TETRALON ,TILKIAN ,TIVOLITUR ,TSL ,URBE ,VALVUGAS ,VITAE ,VITAT ,VOITEL ,VSOL",13/06/2025
Bradesco - Bi Zetta,2,1,1,CNA,MPD,Sem arquivos
Seguros Unimed - Bi Zetta,1,1,0,Nenhuma,FCTH_BIZETTA,Sem arquivos
Bradesco (Manual) - Produção Manual,6,6,0,Nenhuma,"ASTORIA ,BRUKER ,ENERGIS8 ,FRAGON ,NINECON ,RD_ADS",Sem arquivos
SulAmérica - Bi Zetta,7,2,5,"CARLSONS_PRODUTO ,HOTEL_UNIQUE ,PIPEK_ADVOGADOS ,POLI_FILTRO ,SCHWING","BBP ,ONCOMED",Sem arquivos
Unimed Nacional - Bi Zetta,1,0,1,GUINDASTES_TATUAPE,Nenhuma,Sem arquivos
Porto Seguro - Bi Zetta,21,0,21,"ARAUJO_ENGENHARIA ,ASAM ,BENICIO_ADVOGADOS ,BLUM ,BOTANIQUE_HOTEL ,BRFIBRA ,CIMEMPRIMO ,CM_SOFTWARE ,DASCAM_CORRETORA ,EUROBIKE_BCLV ,FRACTALIA_BASIL ,HOUSI_SA ,HY_CITE ,MAIORH ,NTA ,PERI ,PLANTEC ,RUNTALENT ,R_CELL ,SAO_CAMILO ,STARSOFT_BRASIL",Nenhuma,13/06/2025
Omint - Bi Zetta,1,0,1,SIMOES_PIRES,Nenhuma,Sem arquivos
Omint (manual) - Produção Manual,4,0,4,"ADVANTECH_BRASIL ,BRAVO_PROJETOS ,CARLSONS_PRODUTO ,NEGRAO_FERRARI",Nenhuma,Sem arquivos
Hapvida - Bi Zetta,1,0,1,GLOBALWEB_GWO,Nenhuma,Sem arquivos
Plena Saúde - Bi Zetta,1,0,1,MC_DONALDS,Nenhuma,Sem arquivos
