Etapa,Total de Pastas,Pastas com Arquivo,Diferença,Pastas Vazias,Pastas c/ Arquivos,Últ. Atualização
Planilha de Reavaliação,1,1,0,Nenhuma,REAVALIAÇÃO,18/06/2025
Amil - Bi Zetta,83,81,2,"DIGISYSTEM ,METAL_WORKS","ACTOS ,AGROTIN ,ALMADA_PARTICIPACOES_STYLOS ,ALVENIUS ,ARBAIT ,ARC_ENGENHARIA ,ARTENAFEX ,ASTORIA ,AULIK_LENOXX ,AUT_SISTEMAS ,BRASAL ,BRAVO_PROJETOS ,CADMUS ,CARVALIMA ,CHACARA_FLORA ,CHEMAX ,CLESS ,CLF_PLASTICOS ,CLUBE_ESPERIA ,CLUBE_PAINEIRAS ,CNAGA ,CONSELHO_FEDERAL_DA_OAB ,CONSORCIO_STP ,CROMASTER ,DANFAB_PECAS ,DISAL ,E-LAW ,EDAG ,ENGBRAS ,ENGEMATEX ,FREIOS_FARJ ,FUNDACAO_LICEU_PASTEUR ,GENCO ,GLOBALWEB_GWO ,GO_FURTHER ,GRUPO_MEMORIAL ,HOTEL_NACIONAL_INN_JARAGUA_LTDA ,INPLAFER ,JMC ,KASLO ,KRJ ,LAKATOS ,LOCCUS ,MARCYN ,MAXXIMED_COMERCIO ,MUSICAL_EXPRESS ,NEGRAO_FERRARI ,NEOQUIM ,NOVA_ALIANCA ,OP_TELECOM ,PLANSERVI ,PLUS_CARGO ,PRESMAK ,PRF ,RESERVA_NOVOS_PARQUES ,RICARDO_ALMEIDA ,RODL ,RSM ,SALA_DE_SOM ,SANTEC ,SAO_RAFAEL ,SARSTEDT ,SCHWING ,SEE_SAW ,SHOEBIZ ,SINAFRESP ,SUMUS ,TCT_BRASIL ,TECMASTER ,TECNOGEO_GROUND ,TEKLA ,TETRALON ,TILKIAN ,TIVOLITUR ,TSL ,URBE ,VALVUGAS ,VITAE ,VITAT ,VOITEL ,VSOL",16/06/2025
Amil - Envio Relatórios,83,81,2,"DIGISYSTEM ,METAL_WORKS","ACTOS ,AGROTIN ,ALMADA_PARTICIPACOES_STYLOS ,ALVENIUS ,ARBAIT ,ARC_ENGENHARIA ,ARTENAFEX ,ASTORIA ,AULIK_LENOXX ,AUT_SISTEMAS ,BRASAL ,BRAVO_PROJETOS ,CADMUS ,CARVALIMA ,CHACARA_FLORA ,CHEMAX ,CLESS ,CLF_PLASTICOS ,CLUBE_ESPERIA ,CLUBE_PAINEIRAS ,CNAGA ,CONSELHO_FEDERAL_DA_OAB ,CONSORCIO_STP ,CROMASTER ,DANFAB_PECAS ,DISAL ,E-LAW ,EDAG ,ENGBRAS ,ENGEMATEX ,FREIOS_FARJ ,FUNDACAO_LICEU_PASTEUR ,GENCO ,GLOBALWEB_GWO ,GO_FURTHER ,GRUPO_MEMORIAL ,HOTEL_NACIONAL_INN_JARAGUA_LTDA ,INPLAFER ,JMC ,KASLO ,KRJ ,LAKATOS ,LOCCUS ,MARCYN ,MAXXIMED_COMERCIO ,MUSICAL_EXPRESS ,NEGRAO_FERRARI ,NEOQUIM ,NOVA_ALIANCA ,OP_TELECOM ,PLANSERVI ,PLUS_CARGO ,PRESMAK ,PRF ,RESERVA_NOVOS_PARQUES ,RICARDO_ALMEIDA ,RODL ,RSM ,SALA_DE_SOM ,SANTEC ,SAO_RAFAEL ,SARSTEDT ,SCHWING ,SEE_SAW ,SHOEBIZ ,SINAFRESP ,SUMUS ,TCT_BRASIL ,TECMASTER ,TECNOGEO_GROUND ,TEKLA ,TETRALON ,TILKIAN ,TIVOLITUR ,TSL ,URBE ,VALVUGAS ,VITAE ,VITAT ,VOITEL ,VSOL",16/06/2025
Amil - Quiver - Anexar Relatório de Sinistralidade,83,0,83,"ACTOS ,AGROTIN ,ALMADA_PARTICIPACOES_STYLOS ,ALVENIUS ,ARBAIT ,ARC_ENGENHARIA ,ARTENAFEX ,ASTORIA ,AULIK_LENOXX ,AUT_SISTEMAS ,BRASAL ,BRAVO_PROJETOS ,CADMUS ,CARVALIMA ,CHACARA_FLORA ,CHEMAX ,CLESS ,CLF_PLASTICOS ,CLUBE_ESPERIA ,CLUBE_PAINEIRAS ,CNAGA ,CONSELHO_FEDERAL_DA_OAB ,CONSORCIO_STP ,CROMASTER ,DANFAB_PECAS ,DIGISYSTEM ,DISAL ,E-LAW ,EDAG ,ENGBRAS ,ENGEMATEX ,FREIOS_FARJ ,FUNDACAO_LICEU_PASTEUR ,GENCO ,GLOBALWEB_GWO ,GO_FURTHER ,GRUPO_MEMORIAL ,HOTEL_NACIONAL_INN_JARAGUA_LTDA ,INPLAFER ,JMC ,KASLO ,KRJ ,LAKATOS ,LOCCUS ,MARCYN ,MAXXIMED_COMERCIO ,METAL_WORKS ,MUSICAL_EXPRESS ,NEGRAO_FERRARI ,NEOQUIM ,NOVA_ALIANCA ,OP_TELECOM ,PLANSERVI ,PLUS_CARGO ,PRESMAK ,PRF ,RESERVA_NOVOS_PARQUES ,RICARDO_ALMEIDA ,RODL ,RSM ,SALA_DE_SOM ,SANTEC ,SAO_RAFAEL ,SARSTEDT ,SCHWING ,SEE_SAW ,SHOEBIZ ,SINAFRESP ,SUMUS ,TCT_BRASIL ,TECMASTER ,TECNOGEO_GROUND ,TEKLA ,TETRALON ,TILKIAN ,TIVOLITUR ,TSL ,URBE ,VALVUGAS ,VITAE ,VITAT ,VOITEL ,VSOL",Nenhuma,Sem arquivos
Bradesco - Arquivo de Cadastro/Faturamento,2,2,0,Nenhuma,"CNA ,MPD",13/06/2025
Bradesco - Base Aberta de Sinistro,2,2,0,Nenhuma,"CNA ,MPD",02/06/2025
Bradesco - Relatório Gerencial de Sinistralidade,2,2,0,Nenhuma,"CNA ,MPD",06/06/2025
Bradesco - Bi Zetta,2,2,0,Nenhuma,"CNA ,MPD",17/06/2025
Bradesco - Envio Relatório de Sinistralidade,2,2,0,Nenhuma,"CNA ,MPD",17/06/2025
Bradesco - Quiver - Anexar Relatório de Sinistralidade,2,2,0,Nenhuma,"CNA ,MPD",17/06/2025
