Etapa,Total de Pastas,Pastas com Arquivo,Diferença,Pastas Vazias,Pastas c/ Arquivos,Últ. Atualização
Planilha de Reavaliação,1,1,0,Nenhuma,REAVALIAÇÃO,02/07/2025
Bradesco - Arquivo de Cadastro/Faturamento,2,1,1,CNA,MPD,03/07/2025
Bradesco - Base Aberta de Sinistro,2,2,0,Nenhuma,"CNA ,MPD",03/07/2025
Bradesco - Relatório Gerencial de Sinistralidade,2,2,0,Nenhuma,"CNA ,MPD",04/07/2025
Seguros Unimed - Arquivo de Cadastro/Faturamento,1,1,0,Nenhuma,FCTH,08/07/2025
Seguros Unimed - Base Aberta de Sinistro,1,1,0,Nenhuma,FCTH,08/07/2025
Seguros Unimed - Relatório Gerencial de Sinistralidade,1,1,0,Nenhuma,FCTH,08/07/2025
Bradesco (manual) - Relatório Gerencial de Sinistralidade,6,0,6,"ASTORIA ,BRUKER ,ENERGIS_8 ,FRAGON ,NINECON ,RD_ADS",Nenhuma,Sem arquivos
SulAmérica - Arquivo de Cadastro/Faturamento,7,0,7,"BBP ,CARLSONS_PRODUTO ,HOTEL_UNIQUE ,ONCOMED ,PIPEK_ADVOGADOS ,POLI_FILTRO ,SCHWING",Nenhuma,Sem arquivos
SulAmérica - Base Aberta de Sinistro,7,0,7,"BBP ,CARLSONS_PRODUTO ,HOTEL_UNIQUE ,ONCOMED ,PIPEK_ADVOGADOS ,POLI_FILTRO ,SCHWING",Nenhuma,Sem arquivos
SulAmérica - Relatório Gerencial de Sinistralidade,7,0,7,"BBP ,CARLSONS_PRODUTO ,HOTEL_UNIQUE ,ONCOMED ,PIPEK_ADVOGADOS ,POLI_FILTRO ,SCHWING",Nenhuma,Sem arquivos
Unimed Nacional - Arquivo de Cadastro/Faturamento,1,0,1,GUINDASTES_TATUAPE,Nenhuma,Sem arquivos
Unimed Nacional - Base Aberta de Sinistro,1,0,1,GUINDASTES_TATUAPE,Nenhuma,Sem arquivos
Unimed Nacional - Relatório Gerencial de Sinistralidade,1,0,1,GUINDASTES_TATUAPE,Nenhuma,Sem arquivos
Porto Seguro - Arquivo de Cadastro/Faturamento,21,0,21,"ARAUJO_ENGENHARIA ,ASAM ,BENICIO_ADVOGADOS ,BLUM ,BOTANIQUE_HOTEL ,BRFIBRA ,CIMEMPRIMO ,CM_SOFTWARE ,DASCAM_CORRETORA ,EUROBIKE_BCLV ,FRACTALIA_BASIL ,HOUSI_SA ,HY_CITE ,MAIORH ,NTA ,PERI ,PLANTEC ,RUNTALENT ,R_CELL ,SAO_CAMILO ,STARSOFT_BRASIL",Nenhuma,Sem arquivos
Porto Seguro - Base Aberta de Sinistro,21,0,21,"ARAUJO_ENGENHARIA ,ASAM ,BENICIO_ADVOGADOS ,BLUM ,BOTANIQUE_HOTEL ,BRFIBRA ,CIMEMPRIMO ,CM_SOFTWARE ,DASCAM_CORRETORA ,EUROBIKE_BCLV ,FRACTALIA_BASIL ,HOUSI_SA ,HY_CITE ,MAIORH ,NTA ,PERI ,PLANTEC ,RUNTALENT ,R_CELL ,SAO_CAMILO ,STARSOFT_BRASIL",Nenhuma,Sem arquivos
Porto Seguro - Relatório Gerencial de Sinistralidade,21,0,21,"ARAUJO_ENGENHARIA ,ASAM ,BENICIO_ADVOGADOS ,BLUM ,BOTANIQUE_HOTEL ,BRFIBRA ,CIMEMPRIMO ,CM_SOFTWARE ,DASCAM_CORRETORA ,EUROBIKE_BCLV ,FRACTALIA_BASIL ,HOUSI_SA ,HY_CITE ,MAIORH ,NTA ,PERI ,PLANTEC ,RUNTALENT ,R_CELL ,SAO_CAMILO ,STARSOFT_BRASIL",Nenhuma,Sem arquivos
Omint - Arquivo de Cadastro/Faturamento,1,0,1,SIMOES_PIRES,Nenhuma,Sem arquivos
Omint - Base Aberta de Sinistro,1,0,1,SIMOES_PIRES,Nenhuma,Sem arquivos
Omint - Relatório Gerencial de Sinistralidade,1,0,1,SIMOES_PIRES,Nenhuma,Sem arquivos
Omint (manual) - Relatório Gerencial de Sinistralidade,4,0,4,"ADVANTECH_BRASIL_LTDA ,BRAVO_PROJETOS ,CARLSONS_PRODUTOS_INDUSTRIAIS_LTDA ,NEGRAO_FERRARI",Nenhuma,Sem arquivos
Hapvida - Base Aberta de Sinistro,1,0,1,GLOBALWEB_GWO,Nenhuma,Sem arquivos
Hapvida - Relatório Gerencial de Sinistralidade,1,0,1,GLOBALWEB_GWO,Nenhuma,Sem arquivos
Plena Saúde - Arquivo de Cadastro/Faturamento,1,0,1,MC_DONALDS,Nenhuma,Sem arquivos
Plena Saúde - Base Aberta de Sinistro,1,0,1,MC_DONALDS,Nenhuma,Sem arquivos
Plena Saúde - Relatório Gerencial de Sinistralidade,1,0,1,MC_DONALDS,Nenhuma,Sem arquivos
